site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
GGS,2021-01-01 00:00:00,51.253,280.7029,21.1542,30.0987,93.6739
GGS,2021-01-01 01:00:00,252.1933,764.429,57.4938,194.6995,351.8252
GGS,2021-01-01 02:00:00,451.744,931.5615,71.8645,379.8795,572.2509
GGS,2021-01-01 03:00:00,601.3345,995.6729,81.1516,520.1829,735.1871
GGS,2021-01-01 04:00:00,685.2946,1010.8319,89.6725,595.6221,829.5325
GGS,2021-01-01 05:00:00,700.1021,1003.1163,95.2459,604.8563,848.858
GGS,2021-01-01 06:00:00,643.5486,967.7188,98.938,544.6105,791.8453
GGS,2021-01-01 07:00:00,519.4486,892.077,98.7549,420.6937,662.3777
GGS,2021-01-01 08:00:00,340.3822,748.7629,88.1967,252.1855,469.2746
GGS,2021-01-01 09:00:00,133.824,450.9904,54.7137,79.1103,225.6909
GGS,2021-01-01 10:00:00,5.2559,24.8773,4.0392,1.2167,14.7281
GGS,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 00:00:00,48.3944,242.2319,22.2664,26.1281,92.8775
GGS,2021-01-02 01:00:00,243.4597,702.7718,64.3661,179.0936,351.2948
GGS,2021-01-02 02:00:00,439.6695,873.0514,83.5518,356.1177,572.2664
GGS,2021-01-02 03:00:00,588.9936,944.9064,94.8045,494.1891,735.8137
GGS,2021-01-02 04:00:00,675.8276,971.3572,102.5745,573.2532,830.7937
GGS,2021-01-02 05:00:00,693.1656,970.7931,106.523,586.6426,850.7339
GGS,2021-01-02 06:00:00,639.0807,943.1222,106.7514,532.3293,794.2744
GGS,2021-01-02 07:00:00,518.1323,879.2076,101.8267,416.3055,665.2603
GGS,2021-01-02 08:00:00,342.0659,750.8029,87.7288,254.3371,472.4805
GGS,2021-01-02 09:00:00,136.2655,460.0751,54.5237,81.7418,229.068
GGS,2021-01-02 10:00:00,5.6763,26.8868,4.3256,1.3507,15.8502
GGS,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 00:00:00,50.202,273.2573,21.0403,29.1617,92.2291
GGS,2021-01-03 01:00:00,250.4654,760.9015,57.0823,193.3831,350.8978
GGS,2021-01-03 02:00:00,449.7073,930.5929,70.0953,379.612,572.42
GGS,2021-01-03 03:00:00,600.7325,1000.2328,77.1217,523.6108,736.5797
GGS,2021-01-03 04:00:00,688.3041,1024.4554,82.7069,605.5972,832.1919
GGS,2021-01-03 05:00:00,706.5795,1025.4368,85.4659,621.1136,852.7412
GGS,2021-01-03 06:00:00,652.6309,998.2236,87.3989,565.2321,796.826
GGS,2021-01-03 07:00:00,530.8677,933.0018,87.1626,443.7051,668.2545
GGS,2021-01-03 08:00:00,353.4706,805.7822,78.8395,274.631,475.7855
GGS,2021-01-03 09:00:00,144.4451,518.4425,51.8472,92.5979,232.5309
GGS,2021-01-03 10:00:00,6.5076,35.4953,4.6841,1.8235,17.0114
GGS,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 00:00:00,49.603,269.9492,21.0079,28.5952,91.6831
GGS,2021-01-04 01:00:00,247.5752,739.1769,59.9545,187.6207,350.6351
GGS,2021-01-04 02:00:00,444.3,896.7816,78.3654,365.9346,572.7119
GGS,2021-01-04 03:00:00,593.8358,962.0498,89.5766,504.2592,737.4845
GGS,2021-01-04 04:00:00,680.9757,985.8751,97.1146,583.8611,833.7261
GGS,2021-01-04 05:00:00,698.879,984.5247,101.0485,597.8305,854.8784
GGS,2021-01-04 06:00:00,645.6106,956.1646,102.3751,543.2355,799.4984
GGS,2021-01-04 07:00:00,525.5103,891.8845,99.3723,426.1379,671.3582
GGS,2021-01-04 08:00:00,349.8132,766.218,86.7182,263.0949,479.1871
GGS,2021-01-04 09:00:00,143.363,487.2138,55.0468,88.3163,236.0769
GGS,2021-01-04 10:00:00,6.8708,34.9083,5.0245,1.8463,18.2781
GGS,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 00:00:00,49.0443,267.7919,20.5075,28.5368,91.2402
GGS,2021-01-05 01:00:00,246.6281,747.1617,57.009,189.6192,350.5073
GGS,2021-01-05 02:00:00,443.0794,908.0893,72.2302,370.8492,573.1424
GGS,2021-01-05 03:00:00,591.9899,970.7574,82.5018,509.4881,738.5279
GGS,2021-01-05 04:00:00,678.5232,988.4528,91.9768,586.5464,835.3954
GGS,2021-01-05 05:00:00,696.4636,982.0718,98.5325,597.9311,857.1438
GGS,2021-01-05 06:00:00,642.791,943.416,104.8343,537.9567,802.2896
GGS,2021-01-05 07:00:00,521.4701,861.0541,107.8646,413.6055,674.5689
GGS,2021-01-05 08:00:00,344.5854,710.6921,98.2566,246.3288,482.6826
GGS,2021-01-05 09:00:00,140.278,428.2182,61.2596,79.0184,239.7033
GGS,2021-01-05 10:00:00,7.1327,30.1394,5.4637,1.669,19.6095
GGS,2021-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-05 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 00:00:00,49.9416,299.5007,18.4671,31.4746,90.9015
GGS,2021-01-06 01:00:00,247.9841,784.5286,49.2933,198.6909,350.5152
GGS,2021-01-06 02:00:00,442.8336,933.022,61.5485,381.2852,573.7114
GGS,2021-01-06 03:00:00,590.6178,989.0242,70.7464,519.8713,739.7094
GGS,2021-01-06 04:00:00,676.8377,1002.9603,80.3969,596.4408,837.1987
GGS,2021-01-06 05:00:00,695.0529,994.6719,87.7488,607.3041,859.5359
GGS,2021-01-06 06:00:00,643.8696,964.1143,92.2134,551.6561,805.1974
GGS,2021-01-06 07:00:00,527.0133,901.7947,91.9826,435.0307,677.8842
GGS,2021-01-06 08:00:00,354.2063,780.332,82.4566,271.7496,486.2695
GGS,2021-01-06 09:00:00,148.7015,508.233,54.3327,94.3688,243.4075
GGS,2021-01-06 10:00:00,8.0525,42.0462,5.6696,2.3829,21.008
GGS,2021-01-06 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-06 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 00:00:00,50.4187,302.7199,18.6179,31.8008,90.6677
GGS,2021-01-07 01:00:00,251.3965,797.8175,49.1997,202.1969,350.6593
GGS,2021-01-07 02:00:00,449.7168,951.88,60.2016,389.5152,574.4191
GGS,2021-01-07 03:00:00,600.8889,1013.454,67.1628,533.726,741.0283
GGS,2021-01-07 04:00:00,690.1584,1034.4655,73.5158,616.6427,839.1348
GGS,2021-01-07 05:00:00,710.881,1034.2054,77.5821,633.2989,862.0529
GGS,2021-01-07 06:00:00,660.9144,1013.3742,78.953,581.9614,808.2196
GGS,2021-01-07 07:00:00,544.0911,964.5488,76.6428,467.4483,681.3015
GGS,2021-01-07 08:00:00,370.579,862.7526,68.4227,302.1563,489.9448
GGS,2021-01-07 09:00:00,161.6036,619.4164,46.731,114.8726,247.1866
GGS,2021-01-07 10:00:00,9.7034,70.5054,5.6876,4.0158,22.4501
GGS,2021-01-07 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-07 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 00:00:00,49.4882,277.1796,20.1802,29.308,90.5398
GGS,2021-01-08 01:00:00,250.3926,762.231,56.758,193.6347,350.9403
GGS,2021-01-08 02:00:00,450.581,922.3439,72.5067,378.0744,575.2654
GGS,2021-01-08 03:00:00,602.5955,982.6317,84.1012,518.4943,742.4839
GGS,2021-01-08 04:00:00,691.2574,996.7362,95.6469,595.6105,841.2023
GGS,2021-01-08 05:00:00,710.4734,987.7602,103.7309,606.7425,864.6929
GGS,2021-01-08 06:00:00,658.8849,960.3514,105.1866,553.6982,811.3538
GGS,2021-01-08 07:00:00,540.6549,905.9467,99.214,441.4409,684.8179
GGS,2021-01-08 08:00:00,365.9308,793.5828,85.5403,280.3905,493.7056
GGS,2021-01-08 09:00:00,158.0864,541.8495,55.4017,102.6847,251.0375
GGS,2021-01-08 10:00:00,9.7738,55.6064,6.466,3.3078,24.0052
GGS,2021-01-08 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-08 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 00:00:00,50.0994,288.2207,19.7231,30.3763,90.4785
GGS,2021-01-09 01:00:00,252.1342,779.7754,53.8874,198.2468,351.3586
GGS,2021-01-09 02:00:00,452.6076,940.1391,66.5693,386.0384,576.2503
GGS,2021-01-09 03:00:00,605.1318,1002.6143,74.9129,530.219,744.0757
GGS,2021-01-09 04:00:00,694.7535,1020.4826,83.3151,611.4384,843.3999
GGS,2021-01-09 05:00:00,715.1549,1015.7723,89.1887,625.9662,867.454
GGS,2021-01-09 06:00:00,663.1176,981.8317,94.6531,568.4644,814.5977
GGS,2021-01-09 07:00:00,542.8737,909.7656,97.0556,445.8181,688.4308
GGS,2021-01-09 08:00:00,366.2273,778.9988,88.5482,277.6791,497.549
GGS,2021-01-09 09:00:00,158.0939,517.3649,58.4235,99.6704,254.9573
GGS,2021-01-09 10:00:00,10.2721,53.8166,6.9674,3.3047,25.6318
GGS,2021-01-09 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-09 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 00:00:00,53.106,350.249,17.0064,36.0996,90.5649
GGS,2021-01-10 01:00:00,259.4055,845.6405,44.8196,214.5859,351.9138
GGS,2021-01-10 02:00:00,460.4965,983.6643,56.0152,404.4814,577.3725
GGS,2021-01-10 03:00:00,613.728,1036.9828,64.0671,549.6608,745.8016
GGS,2021-01-10 04:00:00,704.3314,1052.8987,71.6973,632.634,845.7251
GGS,2021-01-10 05:00:00,725.5817,1048.8116,77.0752,648.5065,870.3331
GGS,2021-01-10 06:00:00,675.4587,1025.0928,79.5908,595.868,817.9476
GGS,2021-01-10 07:00:00,557.8759,974.179,78.1853,479.6906,692.1364
GGS,2021-01-10 08:00:00,382.935,871.0403,70.715,312.22,501.4711
GGS,2021-01-10 09:00:00,171.8592,635.5004,49.1624,122.6969,258.9422
GGS,2021-01-10 10:00:00,12.2758,86.1532,6.8951,5.3808,27.3311
GGS,2021-01-10 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-10 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 00:00:00,50.0401,280.2649,20.561,29.4791,90.7582
GGS,2021-01-11 01:00:00,250.1907,738.0112,62.0434,188.1472,352.6082
GGS,2021-01-11 02:00:00,449.1689,879.5714,86.5485,362.6204,578.6339
GGS,2021-01-11 03:00:00,602.3834,941.9025,101.6947,500.6888,747.6629
GGS,2021-01-11 04:00:00,694.0826,969.1455,110.0131,584.0695,848.1783
GGS,2021-01-11 05:00:00,716.0809,969.9625,114.2245,601.8564,873.33
GGS,2021-01-11 06:00:00,666.6804,948.1059,113.1921,553.4883,821.4026
GGS,2021-01-11 07:00:00,549.7318,896.3095,105.8553,443.8765,695.9332
GGS,2021-01-11 08:00:00,375.3302,787.9097,90.3738,284.9564,505.4701
GGS,2021-01-11 09:00:00,166.2645,542.5153,59.0367,107.2278,262.9901
GGS,2021-01-11 10:00:00,12.1093,65.9045,7.8246,4.2847,29.1045
GGS,2021-01-11 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-11 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 00:00:00,47.9757,239.9319,22.1781,25.7975,91.1015
GGS,2021-01-12 01:00:00,248.6451,712.9051,65.6086,183.0365,353.4412
GGS,2021-01-12 02:00:00,453.2228,893.1404,83.7654,369.4573,580.0329
GGS,2021-01-12 03:00:00,610.6091,971.8537,92.5446,518.0645,749.6573
GGS,2021-01-12 04:00:00,704.7239,1004.6967,97.3225,607.4014,850.7568
GGS,2021-01-12 05:00:00,728.2171,1011.4084,98.3655,629.8516,876.4412
GGS,2021-01-12 06:00:00,679.3533,993.1746,97.0139,582.3394,824.9592
GGS,2021-01-12 07:00:00,561.9574,943.0967,92.3343,469.6231,699.8174
GGS,2021-01-12 08:00:00,386.1439,838.5381,80.6231,305.5207,509.5419
GGS,2021-01-12 09:00:00,172.8709,588.313,55.0926,117.7783,267.0973
GGS,2021-01-12 10:00:00,13.1143,77.476,7.966,5.1483,30.9229
GGS,2021-01-12 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-12 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 00:00:00,48.4241,246.5672,21.7908,26.6333,91.5142
GGS,2021-01-13 01:00:00,248.5875,720.6045,63.2725,185.315,354.4129
GGS,2021-01-13 02:00:00,450.9746,890.1754,81.8381,369.1366,581.5693
GGS,2021-01-13 03:00:00,606.738,961.9487,92.4923,514.2457,751.7839
GGS,2021-01-13 04:00:00,700.0986,990.5461,99.3113,600.7872,853.4587
GGS,2021-01-13 05:00:00,723.6443,993.6702,102.5071,621.1372,879.6646
GGS,2021-01-13 06:00:00,673.5435,963.4542,105.9644,567.5792,828.6145
GGS,2021-01-13 07:00:00,553.9116,890.2507,107.7726,446.1389,703.7858
GGS,2021-01-13 08:00:00,377.1172,755.3826,99.0052,278.112,513.6833
GGS,2021-01-13 09:00:00,167.4107,492.6498,66.6045,100.8063,271.2602
GGS,2021-01-13 10:00:00,13.2417,57.6714,9.2281,4.0136,32.8598
GGS,2021-01-13 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-13 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 00:00:00,56.1922,349.7823,19.6059,36.5864,92.037
GGS,2021-01-14 01:00:00,272.5611,854.5298,53.2733,219.2878,355.5236
GGS,2021-01-14 02:00:00,483.8653,1001.7803,67.555,416.3103,583.2424
GGS,2021-01-14 03:00:00,645.4938,1063.4473,75.3125,570.1813,754.0413
GGS,2021-01-14 04:00:00,742.0264,1088.2321,79.7562,662.2702,856.2822
GGS,2021-01-14 05:00:00,766.4249,1091.5468,81.4576,684.9673,882.9976
GGS,2021-01-14 06:00:00,714.2111,1066.7316,82.965,631.2461,832.3655
GGS,2021-01-14 07:00:00,589.7291,1005.5693,83.1234,506.6058,707.835
GGS,2021-01-14 08:00:00,406.3898,891.2033,76.3486,330.0412,517.8909
GGS,2021-01-14 09:00:00,186.0681,640.0201,54.7258,131.3424,275.4757
GGS,2021-01-14 10:00:00,15.8427,98.6947,8.9802,6.8624,34.8719
GGS,2021-01-14 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 18:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 19:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 20:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 21:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 22:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-14 23:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 00:00:00,53.7471,310.3509,20.9331,32.814,92.6703
GGS,2021-01-15 01:00:00,264.7627,797.9006,58.8996,205.863,356.7732
GGS,2021-01-15 02:00:00,473.1569,951.7086,76.2872,396.8697,585.0516
GGS,2021-01-15 03:00:00,632.8018,1015.4687,86.5442,546.2576,756.4281
GGS,2021-01-15 04:00:00,728.1622,1039.7441,93.1625,634.9996,859.2253
GGS,2021-01-15 05:00:00,751.9342,1040.3567,96.4744,655.4598,886.4375
GGS,2021-01-15 06:00:00,700.287,1013.261,97.8348,602.4522,836.2091
GGS,2021-01-15 07:00:00,577.5656,950.0811,96.0077,481.5579,711.9617
GGS,2021-01-15 08:00:00,396.7644,831.6797,86.0001,310.7643,522.1611
GGS,2021-01-15 09:00:00,180.4772,577.0121,59.7856,120.6917,279.7403
GGS,2021-01-15 10:00:00,15.775,84.7759,9.6612,6.1138,36.9595
GGS,2021-01-15 11:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 12:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 13:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 14:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 15:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 16:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 17:00:00,0.0,0.0,0.0,0.0,0.0
GGS,2021-01-15 18:00:00,0.0,0.0,0.0,0.0,0.0
