time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-07-26 12:00:00,0.36,0.32,0.32,0.28,0.24,0.2,0.16,0.16,0.16,0.12,0.12,0.48,0.32,0.32,0.2,0.2,0.24,0.16,0.2,0.08,0.12,0.16,0.4,0.28,0.24,0.2,0.16,0.08,0.12,0.12,0.08,0.08,0.12,0.24,0.28,0.2,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.08,0.48,0.4,0.28,0.12,0.16,0.16,0.2,0.2,0.16,0.12,0.12,0.48,0.36,0.16,0.2,0.12,0.16,0.12,0.24,0.16,0.12,0.16,0.44,0.48,0.36,0.28,0.2,0.2,0.16,0.16,0.12,0.08,0.12,0.6,0.68,0.56,0.28,0.36,0.12,0.12,0.12,0.12,0.12,0.08,0.8,0.92,0.6,0.44,0.4,0.2,0.16,0.16,0.12,0.08,0.08,0.92,0.6,0.84,0.56,0.24,0.2,0.24,0.12,0.12,0.16,0.08,0.8,0.8,0.64,0.32,0.24,0.32,0.24,0.2,0.12,0.16,0.16
2021-08-19 03:00:00,0.12,0.08,0.16,0.12,0.08,0.04,0.08,0.16,0.2,0.08,0.12,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.12,0.12,0.08,0.16,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.08,0.16,0.16,0.08,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.12,0.12,0.2,0.16,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.2,0.16,0.2,0.2,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.2,0.28,0.2,0.2,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.2,0.2,0.24,0.32,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.28,0.24,0.24,0.28,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.28,0.28,0.32,0.36,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.32,0.28,0.28,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.32,0.32,0.24,0.24
2021-10-25 06:00:00,0.16,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.08,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.12,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.2,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.2,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.2,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.28,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.28,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.32,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.32,0.4,0.28,0.24,0.24,0.2,0.16,0.24,0.24,0.4,0.32,0.32,0.4,0.36,0.32,0.28,0.28,0.16,0.2,0.24,0.4,0.4,0.36
2021-09-02 12:00:00,1.56,1.6,1.08,0.92,0.76,0.84,0.92,1.12,1.04,0.76,0.52,1.6400000000000001,1.44,0.96,0.8,0.88,1.2,1.4000000000000001,1.12,1.16,0.96,0.56,1.68,1.28,0.84,1.0,1.4000000000000001,1.52,1.56,0.96,0.72,0.68,0.52,1.6400000000000001,1.24,0.92,1.36,1.56,1.32,1.2,1.04,1.2,0.88,0.64,1.52,1.12,0.96,1.44,1.48,1.04,1.0,1.28,1.04,0.76,0.76,1.4000000000000001,0.96,1.32,1.84,1.44,1.16,1.04,1.0,0.84,0.68,0.8,1.48,1.04,1.4000000000000001,1.8800000000000001,1.56,1.24,0.96,1.08,0.96,0.96,1.04,1.32,1.16,1.48,1.8,1.28,1.24,1.36,1.08,1.12,0.84,0.76,1.52,1.36,1.56,1.8800000000000001,1.8,1.68,1.4000000000000001,1.48,1.12,1.04,0.88,1.52,1.4000000000000001,2.0,1.68,1.48,1.56,1.56,1.36,1.4000000000000001,1.24,1.0,1.6,1.76,1.6,1.72,1.56,1.4000000000000001,1.08,0.84,0.76,0.84,1.04
2021-10-10 07:00:00,0.2,0.16,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.24,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.16,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.12,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.16,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.12,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.2,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.12,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.24,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.36,0.4,0.28,0.24,0.24,0.2,0.16,0.24,0.24,0.4,0.32,0.44,0.4,0.36,0.32,0.28,0.28,0.16,0.2,0.24,0.4,0.4
2021-08-03 10:00:00,0.08,0.12,0.12,0.08,0.08,0.12,0.12,0.08,0.16,0.12,0.08,0.12,0.12,0.12,0.12,0.12,0.08,0.16,0.16,0.16,0.16,0.12,0.16,0.2,0.2,0.16,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.16,0.12,0.24,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.2,0.16,0.16,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.12,0.12,0.12,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.2,0.16,0.16,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.2,0.24,0.12,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.32,0.24,0.2,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.4,0.32,0.12,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.4,0.16,0.24,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24
2021-04-13 07:00:00,0.12,0.12,0.12,0.08,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.2,0.16,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.24,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.16,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.12,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.16,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.12,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.2,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.12,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.24,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.36,0.4,0.28,0.24,0.24,0.2,0.16,0.24,0.24,0.4,0.32
2021-09-15 10:00:00,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.08,0.16,0.16,0.16,0.12,0.16,0.16,0.2,0.2,0.16,0.12,0.12,0.2,0.16,0.12,0.2,0.12,0.16,0.12,0.24,0.16,0.12,0.16,0.12,0.16,0.08,0.28,0.2,0.2,0.16,0.16,0.12,0.08,0.12,0.08,0.08,0.08,0.28,0.36,0.12,0.12,0.12,0.12,0.12,0.08,0.12,0.12,0.08,0.44,0.4,0.2,0.16,0.16,0.12,0.08,0.08,0.12,0.08,0.04,0.56,0.24,0.2,0.24,0.12,0.12,0.16,0.08,0.08,0.12,0.16,0.32,0.24,0.32,0.24,0.2,0.12,0.16,0.16,0.16,0.12,0.16,0.64,0.52,0.4,0.32,0.12,0.24,0.32,0.24,0.12,0.16,0.16,0.84,0.56,0.4,0.16,0.24,0.36,0.32,0.24,0.16,0.2,0.2,0.68,0.52,0.6,0.36,0.36,0.4,0.28,0.24,0.24,0.2,0.16
2021-11-18 09:00:00,0.6,0.68,0.56,0.28,0.36,0.12,0.12,0.12,0.12,0.12,0.08,0.8,0.92,0.6,0.44,0.4,0.2,0.16,0.16,0.12,0.08,0.08,0.92,0.6,0.84,0.56,0.24,0.2,0.24,0.12,0.12,0.16,0.08,0.8,0.8,0.64,0.32,0.24,0.32,0.24,0.2,0.12,0.16,0.16,0.8,0.64,0.32,0.64,0.52,0.4,0.32,0.12,0.24,0.32,0.24,0.48,0.56,0.64,0.84,0.56,0.4,0.16,0.24,0.36,0.32,0.24,0.8,0.68,0.84,0.68,0.52,0.6,0.36,0.36,0.4,0.28,0.24,1.24,0.8,0.88,0.68,0.68,0.68,0.52,0.44,0.4,0.36,0.32,1.4000000000000001,1.12,0.84,0.8,0.68,0.52,0.6,0.44,0.28,0.32,0.36,1.28,1.08,0.96,0.96,0.92,0.84,0.72,0.6,0.6,0.64,0.64,1.04,1.0,0.88,0.84,0.84,0.84,0.76,0.68,0.6,0.68,0.68
2021-12-06 06:00:00,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.2,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.2,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.2,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.28,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.28,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.32,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.32,0.4,0.28,0.24,0.24,0.2,0.16,0.24,0.24,0.4,0.32,0.32,0.4,0.36,0.32,0.28,0.28,0.16,0.2,0.24,0.4,0.4,0.36,0.28,0.32,0.36,0.4,0.32,0.24,0.24,0.16,0.44,0.4,0.36,0.6,0.64,0.64,0.6,0.52,0.44,0.4,0.44,0.52,0.44,0.48
2021-05-14 08:00:00,0.12,0.08,0.08,0.12,0.12,0.08,0.16,0.12,0.08,0.04,0.08,0.12,0.12,0.12,0.08,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.2,0.16,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.24,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.16,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.12,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.16,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.12,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.2,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.12,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.24,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32
2021-08-07 06:00:00,0.08,0.08,0.12,0.12,0.08,0.16,0.12,0.08,0.04,0.08,0.16,0.12,0.12,0.08,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.12,0.16,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.08,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.12,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.2,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.2,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.2,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.28,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.28,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.32,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.32
2021-09-08 09:00:00,0.12,0.12,0.12,0.12,0.12,0.08,0.16,0.16,0.16,0.16,0.12,0.16,0.2,0.2,0.16,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.16,0.12,0.24,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.2,0.16,0.16,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.12,0.12,0.12,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.2,0.16,0.16,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.2,0.24,0.12,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.32,0.24,0.2,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.4,0.32,0.12,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.4,0.16,0.24,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.6,0.36,0.36,0.4,0.28,0.24,0.24,0.2,0.16,0.24,0.24
2021-09-12 03:00:00,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.12,0.12,0.08,0.16,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.08,0.16,0.16,0.08,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.12,0.12,0.2,0.16,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.2,0.16,0.2,0.2,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.2,0.28,0.2,0.2,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.2,0.2,0.24,0.32,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.28,0.24,0.24,0.28,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.28,0.28,0.32,0.36,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.32,0.28,0.28,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.32,0.32,0.24,0.24,0.24,0.2,0.16,0.24,0.24,0.4,0.32,0.32,0.28,0.24,0.28
2021-11-08 08:00:00,0.16,0.12,0.24,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.2,0.16,0.16,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.12,0.12,0.12,0.12,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.2,0.16,0.16,0.12,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.2,0.24,0.12,0.12,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.32,0.24,0.2,0.12,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.4,0.32,0.12,0.24,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.4,0.16,0.24,0.36,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.6,0.36,0.36,0.4,0.28,0.24,0.24,0.2,0.16,0.24,0.24,0.68,0.52,0.44,0.4,0.36,0.32,0.28,0.28,0.16,0.2,0.24,0.52,0.6,0.44,0.28,0.32,0.36,0.4,0.32,0.24,0.24,0.16
2021-03-21 05:00:00,0.12,0.08,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.12,0.12,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.08,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.12,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.2,0.16,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.2,0.28,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.2,0.2,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.28,0.24,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.28,0.28,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.32,0.28,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.32,0.32,0.28,0.24,0.24,0.2,0.16,0.24,0.24,0.4,0.32,0.32,0.28
2021-09-04 05:00:00,0.12,0.08,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.12,0.12,0.12,0.12,0.2,0.16,0.12,0.12,0.16,0.12,0.12,0.08,0.16,0.12,0.16,0.12,0.16,0.08,0.08,0.2,0.16,0.16,0.12,0.12,0.08,0.12,0.08,0.08,0.08,0.04,0.12,0.2,0.24,0.2,0.16,0.12,0.08,0.12,0.12,0.08,0.04,0.08,0.24,0.24,0.2,0.28,0.08,0.08,0.12,0.08,0.04,0.08,0.16,0.24,0.24,0.2,0.2,0.16,0.08,0.08,0.12,0.16,0.12,0.16,0.24,0.28,0.28,0.24,0.16,0.16,0.16,0.12,0.16,0.08,0.12,0.28,0.28,0.28,0.28,0.32,0.24,0.12,0.16,0.16,0.16,0.24,0.32,0.28,0.32,0.28,0.32,0.24,0.16,0.2,0.2,0.24,0.24,0.36,0.32,0.32,0.32,0.28,0.24,0.24,0.2,0.16,0.24,0.24,0.4,0.32,0.32,0.28
